200,,
50,,
1,,
2.02,425,1.1
1.97,430,2.1
2.01,435,3.1
1.93,437,4.1
1.94,439,5.1
1.95,441,6.1
1.92,443,7.1
1.85,443.5,8.1
1.76,443.5,9.1
1.84,444,10.1
1.87,445,11.1
1.77,445,12.1
1.78,445,13.1
1.79,445,14.1
1.82,445.5,15.1
1.66,445,16.1
1.74,445,17.1
1.76,445,18.1
1.75,445,19.1
1.72,445,20.1
1.71,445,21.1
1.56,443,22.1
1.8,443.5,23.1
1.73,443.5,24.1
1.8,444,25.1
1.68,443.5,26.1
1.69,443,27.1
1.72,443,28.1
1.81,443.5,29.1
1.85,444,30.1
1.87,445,31.1
1.84,445.5,32.1
1.79,445.5,33.1
1.78,445.5,34.1
1.84,446,35.1
1.77,446,36.1
1.71,446,37.1
1.69,445.5,38.1
1.79,445.5,39.1
1.64,444.5,40.1
1.62,443.5,41.1
1.71,443.5,42.1
1.69,443,43.1
1.7,442.5,44.1
1.63,441.5,45.1
1.76,441.5,46.1
1.71,441.5,47.1
1.76,441.5,48.1
1.72,441.5,49.1
1.82,442,50.1
1.77,442,51.1
1.77,442,52.1
1.74,442,53.1
1.83,442.5,54.1
1.82,443,55.1
1.75,443,56.1
1.77,443,57.1
1.67,442.5,58.1
1.66,442,59.1
1.68,441.5,60.1
1.58,439.5,61.1
1.63,438.5,62.1
1.57,436.5,63.1
1.58,434.5,64.1
1.6,433.5,65.1
1.65,432.5,66.1
1.66,432,67.1
1.68,431.5,68.1
1.67,431,69.1
1.63,430,70.1
1.66,429.5,71.1
1.58,427.5,72.1
1.62,426.5,73.1
1.6,425.5,74.1
1.61,424.5,75.1
1.64,423.5,76.1
1.7,423,77.1
1.62,422,78.1
1.76,422,79.1
1.71,422,80.1
1.74,422,81.1
1.7,422,82.1
1.74,422,83.1
1.66,421.5,84.1
1.69,421,85.1
1.66,420.5,86.1
1.77,420.5,87.1
1.78,420.5,88.1
1.69,420,89.1
1.73,420,90.1
1.71,420,91.1
1.64,419,92.1
1.69,418.5,93.1
1.74,418.5,94.1
1.66,418,95.1
1.78,418,96.1
1.67,417.5,97.1
1.62,416.5,98.1
1.6,414.5,99.1
1.7,414,100.1
1.59,412,101.1
1.62,411,102.1
1.65,410,103.1
1.62,409,104.1
1.58,407,105.1
1.62,406,106.1
1.65,405,107.1
1.54,400,108.1
1.61,399,109.1
1.6,397,110.1
1.66,396.5,111.1
1.68,396,112.1
1.6,394,113.1
1.66,393.5,114.1
1.61,392.5,115.1
1.71,392.5,116.1
1.74,392.5,117.1
1.8,393,118.1
1.72,393,119.1
1.76,393,120.1
1.78,393,121.1
1.73,393,122.1
1.73,393,123.1
1.77,393,124.1
1.68,392.5,125.1
1.72,392.5,126.1
1.7,392,127.1
1.67,391.5,128.1
1.68,391,129.1
1.73,391,130.1
1.73,391,131.1
1.77,391,132.1
1.78,391,133.1
1.65,390,134.1
1.8,390.5,135.1
1.82,391,136.1
1.7,390.5,137.1
1.72,390.5,138.1
1.7,390.5,139.1
1.62,389.5,140.1
1.69,389,141.1
1.73,389,142.1
1.66,388.5,143.1
1.65,387.5,144.1
1.77,387.5,145.1
1.7,387.5,146.1
1.73,387.5,147.1
1.61,386.5,148.1
1.69,386,149.1
1.76,386,150.1
1.8,386,151.1
1.76,386,152.1
1.78,386,153.1
1.69,385.5,154.1
1.86,386.5,155.1
1.71,386.5,156.1
1.81,387,157.1
1.81,387.5,158.1
1.72,387.5,159.1
1.81,388,160.1
1.82,388.5,161.1
1.66,388,162.1
1.75,388,163.1
1.79,388,164.1
1.7,388,165.1
1.69,387.5,166.1
1.78,387.5,167.1
1.6,385.5,168.1
1.64,384.5,169.1
1.67,384,170.1
1.7,383.5,171.1
1.64,382.5,172.1
1.56,380.5,173.1
1.65,380,174.1
1.7,380,175.1
1.63,379,176.1
1.69,378.5,177.1
1.68,378,178.1
1.78,378,179.1
1.79,378,180.1
1.78,378,181.1
1.73,378,182.1
1.7,377.5,183.1
1.75,377.5,184.1
1.64,376.5,185.1
1.84,377,186.1
1.93,379,187.1
1.79,379,188.1
1.86,380,189.1
1.74,380,190.1
1.76,380,191.1
1.74,380,192.1
1.72,380,193.1
1.69,379.5,194.1
1.69,379,195.1
1.66,378.5,196.1
1.59,376.5,197.1
1.63,375.5,198.1
1.65,375,199.1
1.79,375,200.1
1.79,375,201.1
1.74,375,202.1
1.78,375,203.1
1.82,375.5,204.1
1.7,375,205.1
1.85,375.5,206.1
1.86,376.5,207.1
1.72,376.5,208.1
1.8,377,209.1
1.76,377,210.1
1.75,377,211.1
1.78,377,212.1
1.85,377.5,213.1
1.84,378,214.1
1.82,378.5,215.1
1.73,378.5,216.1
1.78,378.5,217.1
1.76,378.5,218.1
1.81,379,219.1
1.79,379,220.1
1.81,379.5,221.1
1.98,384.5,222.1
1.95,389.5,223.1
1.9,391.5,224.1
1.84,392,225.1
1.69,391.5,226.1
1.69,391,227.1
1.8,391.5,228.1
1.6,389.5,229.1
1.61,388.5,230.1
1.65,387.5,231.1
1.71,387.5,232.1
1.53,382.5,233.1
1.69,382,234.1
1.66,381.5,235.1
1.7,381.5,236.1
1.62,380.5,237.1
1.64,379.5,238.1
1.63,378.5,239.1
1.67,378,240.1
1.75,378,241.1
1.78,378,242.1
1.79,378,243.1
1.8,378,244.1
1.78,378,245.1
1.75,378,246.1
1.81,378.5,247.1
1.74,378.5,248.1
1.76,378.5,249.1
1.84,379,250.1
1.88,380,251.1
1.75,380,252.1
1.81,380.5,253.1
1.78,380.5,254.1
1.73,380.5,255.1
1.74,380.5,256.1
1.68,380,257.1
1.63,379,258.1
1.73,379,259.1
1.74,379,260.1
1.7,379,261.1
1.79,379,262.1
1.76,379,263.1
1.71,379,264.1
1.72,379,265.1
1.73,379,266.1
1.75,379,267.1
1.69,378.5,268.1
1.75,378.5,269.1
1.7,378.5,270.1
1.66,378,271.1
1.76,378,272.1
1.78,378,273.1
1.7,378,274.1
1.79,378,275.1
1.71,378,276.1
1.85,379,277.1
1.9,381,278.1
1.8,381.5,279.1
1.74,381.5,280.1
1.67,381,281.1
1.81,381.5,282.1
1.79,381.5,283.1
1.84,382,284.1
1.84,382.5,285.1
1.67,382,286.1
1.89,383,287.1
1.93,385,288.1
1.86,386,289.1
1.75,386,290.1
1.78,386,291.1
1.64,385,292.1
1.69,384.5,293.1
1.71,384.5,294.1
1.78,384.5,295.1
1.73,384.5,296.1
1.73,384.5,297.1
1.72,384.5,298.1
1.75,384.5,299.1
1.76,384.5,300.1
1.86,385.5,301.1
1.69,385,302.1
1.75,385,303.1
1.74,385,304.1
1.67,384.5,305.1
1.75,384.5,306.1
1.81,385,307.1
1.81,385.5,308.1
1.87,386.5,309.1
1.85,387,310.1
1.9,389,311.1
1.82,389.5,312.1
1.83,390,313.1
1.81,390.5,314.1
1.78,390.5,315.1
1.79,390.5,316.1
1.67,390,317.1
1.69,389.5,318.1
1.6,387.5,319.1
1.64,386.5,320.1
1.69,386,321.1
1.66,385.5,322.1
1.67,385,323.1
1.77,385,324.1
1.68,384.5,325.1
1.66,384,326.1
1.66,383.5,327.1
1.63,382.5,328.1
1.67,382,329.1
1.79,382,330.1
1.73,382,331.1
1.8,382.5,332.1
1.82,383,333.1
1.81,383.5,334.1
1.74,383.5,335.1
1.77,383.5,336.1
1.71,383.5,337.1
1.67,383,338.1
1.69,382.5,339.1
1.74,382.5,340.1
1.73,382.5,341.1
1.65,382,342.1
1.66,381.5,343.1
1.6,379.5,344.1
1.66,379,345.1
1.69,378.5,346.1
1.61,377.5,347.1
1.64,376.5,348.1
