200
5
10
1.62 259.00 11.00
1.61 258.00 21.00
1.65 257.50 31.00
1.71 257.50 41.00
1.67 257.00 51.00
1.68 256.50 61.00
2.10 261.50 71.00
1.72 261.50 81.00
1.86 262.50 91.00
2.06 267.50 101.00
2.05 272.50 111.00
1.97 277.50 121.00
1.96 282.50 131.00
1.89 283.50 141.00
1.85 284.00 151.00
1.82 284.50 161.00
1.77 284.50 171.00
1.70 284.50 181.00
1.76 284.50 191.00
1.79 284.50 201.00
1.81 285.00 211.00
1.84 285.50 221.00
1.92 287.50 231.00
1.90 288.50 241.00
1.79 288.50 251.00
1.83 289.00 261.00
1.75 289.00 271.00
1.80 289.50 281.00
1.70 289.00 291.00
1.76 289.00 301.00
1.75 289.00 311.00
1.69 288.50 321.00
1.70 288.00 331.00
1.80 288.00 341.00
1.82 288.50 351.00
1.70 288.50 361.00
1.71 288.50 371.00
1.70 288.00 381.00
1.66 287.50 391.00
1.65 287.00 401.00
1.69 286.50 411.00
1.65 285.50 421.00
1.61 284.50 431.00
1.67 284.00 441.00
1.61 283.00 451.00
1.52 278.00 461.00
1.54 273.00 471.00
1.60 271.00 481.00
1.65 270.00 491.00
1.71 270.00 501.00
1.84 270.50 511.00
1.74 270.50 521.00
1.78 270.50 531.00
1.78 270.50 541.00
1.74 270.50 551.00
1.73 270.50 561.00
1.65 270.00 571.00
1.72 270.00 581.00
1.80 270.00 591.00
1.67 269.50 601.00
1.76 269.50 611.00
1.67 269.00 621.00
1.66 268.50 631.00
1.74 268.50 641.00
1.66 268.00 651.00
1.71 268.00 661.00
1.72 268.00 671.00
1.73 268.00 681.00
1.76 268.00 691.00
1.80 268.00 701.00
1.67 267.50 711.00
1.67 267.00 721.00
1.72 267.00 731.00
1.63 266.00 741.00
1.69 265.50 751.00
1.72 265.50 761.00
1.71 265.50 771.00
1.85 266.00 781.00
1.73 266.00 791.00
1.84 266.50 801.00
1.80 266.50 811.00
1.67 266.00 821.00
1.68 265.50 831.00
1.69 265.00 841.00
1.68 264.50 851.00
1.64 263.50 861.00
1.80 264.00 871.00
1.87 265.00 881.00
1.81 265.50 891.00
1.81 266.00 901.00
1.87 267.00 911.00
1.84 267.50 921.00
1.80 267.50 931.00
1.89 268.50 941.00
1.80 269.00 951.00
1.86 270.00 961.00
1.79 270.00 971.00
1.81 270.50 981.00
1.75 270.50 991.00
1.69 270.00 1001.00
1.77 270.00 1011.00
1.78 270.00 1021.00
1.88 271.00 1031.00
1.80 271.00 1041.00
1.75 271.00 1051.00
1.69 270.50 1061.00
1.75 270.50 1071.00
1.82 271.00 1081.00
1.76 271.00 1091.00
1.80 271.50 1101.00
1.76 271.50 1111.00
1.78 271.50 1121.00
1.74 271.50 1131.00
1.69 271.00 1141.00
1.74 271.00 1151.00
1.70 271.00 1161.00
1.65 270.50 1171.00
1.75 270.50 1181.00
1.65 269.50 1191.00
1.70 269.50 1201.00
1.72 269.50 1211.00
1.72 269.50 1221.00
1.77 269.50 1231.00
1.72 269.50 1241.00
1.75 269.50 1251.00
1.71 269.50 1261.00
1.79 269.50 1271.00
1.78 269.50 1281.00
1.68 269.00 1291.00
1.84 269.50 1301.00
1.71 269.50 1311.00
1.68 269.00 1321.00
1.65 268.00 1331.00
1.69 267.50 1341.00
1.82 268.00 1351.00
1.73 268.00 1361.00
1.76 268.00 1371.00
1.88 269.00 1381.00
1.82 269.50 1391.00
1.77 269.50 1401.00
1.76 269.50 1411.00
1.69 269.00 1421.00
1.76 269.00 1431.00
1.75 269.00 1441.00
1.71 269.00 1451.00
1.69 268.50 1461.00
1.70 268.50 1471.00
1.67 268.00 1481.00
1.73 268.00 1491.00
1.81 268.50 1501.00
1.81 269.00 1511.00
1.76 269.00 1521.00
1.77 269.00 1531.00
1.77 269.00 1541.00
1.74 269.00 1551.00
1.78 269.00 1561.00
1.87 270.00 1571.00
1.71 270.00 1581.00
